# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 9.694391001875584985e-05 3.166444230769230853e+04 1.048979417067307850e+03 7.457425275593830538e-11 1.583738581730769329e+04 3.166444230769230853e+04 3.166444230769230853e+04 1.048979417067307850e+03 1.048979417067307850e+03
1.503254434404273886e-02 -4.115352122527029855e-05 2.411289583333333212e+04 7.999781901041666288e+02 5.859875547760869140e-11 1.286450000000000000e+04 2.411289583333333212e+04 2.411289583333333212e+04 7.999781901041666288e+02 7.999781901041666288e+02
2.104537904654678673e-02 4.855026858613679177e-05 2.311805427631578641e+04 7.615695415296052033e+02 7.406888552789100724e-11 1.257740625000000000e+04 2.311805427631578641e+04 2.311805427631578641e+04 7.615695415296052033e+02 7.615695415296052033e+02
2.718418752217394846e-02 -8.104148551694348825e-05 1.736164636752137085e+04 5.750043402777778283e+02 9.029740298313060243e-11 9.291579059829060498e+03 1.736164636752137085e+04 1.736164636752137085e+04 5.750043402777778283e+02 5.750043402777778283e+02
3.359305548768203725e-02 2.550560096153846189e+03 1.979568028846153902e+04 6.560812049278846416e+02 2.567593149038461888e+03 1.120564543269230853e+04 1.979568028846153902e+04 1.979568028846153902e+04 6.560812049278846416e+02 6.560812049278846416e+02
3.967812110980351720e-02 2.855120572916666788e+03 1.595317291666666642e+04 5.253522786458332803e+02 2.878684374999999818e+03 8.809635416666666060e+03 1.595317291666666642e+04 1.595317291666666642e+04 5.253522786458332803e+02 5.253522786458332803e+02
4.573133090443888549e-02 3.782411011080332628e+03 1.407315789473684163e+04 4.619481907894736992e+02 3.805411703601108002e+03 7.740554016620498260e+03 1.407315789473684163e+04 1.407315789473684163e+04 4.619481907894736992e+02 4.619481907894736992e+02
5.186912300623527233e-02 3.842601830663615601e+03 1.295331006864988558e+04 4.232872926201372934e+02 3.864507437070938067e+03 7.103853546910755540e+03 1.295331006864988558e+04 1.295331006864988558e+04 4.232872926201372934e+02 4.232872926201372934e+02
5.807971256735403043e-02 3.699659638554217054e+03 1.189996299483648909e+04 3.902746073580034363e+02 3.728431583476764445e+03 6.583965146299483422e+03 1.189996299483648909e+04 1.189996299483648909e+04 3.902746073580034363e+02 3.902746073580034363e+02
6.422094742881356844e-02 4.051941458026509281e+03 1.138430633284241594e+04 3.718615150957290325e+02 4.083733063328424123e+03 6.272233431516936434e+03 1.138430633284241594e+04 1.138430633284241594e+04 3.718615150957290325e+02 3.718615150957290325e+02
7.029194303550849454e-02 2.819354473039215463e+03 8.990157475490195793e+03 2.953780254289215463e+02 2.841367953431372371e+03 5.036273284313725526e+03 8.990157475490195793e+03 8.990157475490195793e+03 2.953780254289215463e+02 2.953780254289215463e+02
