# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 -1.444260459930564492e-05 3.166444230769230853e+04 5.555979567307692378e+03 4.067509416889773968e-12 2.438673798076923049e+04 3.166444230769230853e+04 3.166444230769230853e+04 5.555979567307692378e+03 5.555979567307692378e+03
1.503254434404273886e-02 -3.551041138254933360e-05 2.411289583333333212e+04 4.239139322916666060e+03 3.406734770826523525e-12 2.090810763888888687e+04 2.411289583333333212e+04 2.411289583333333212e+04 4.239139322916666060e+03 4.239139322916666060e+03
2.104537904654678673e-02 -2.094823560726485505e-05 2.311805427631578641e+04 3.992711348684210407e+03 5.920647378798130968e-12 2.023110690789473665e+04 2.311805427631578641e+04 2.311805427631578641e+04 3.992711348684210407e+03 3.992711348684210407e+03
2.718418752217394846e-02 -5.670458985826908231e-06 1.736164636752137085e+04 3.031409989316239717e+03 4.435168756472398354e-12 1.475544337606837689e+04 1.736164636752137085e+04 1.736164636752137085e+04 3.031409989316239717e+03 3.031409989316239717e+03
3.359305548768203725e-02 4.858094951923077133e+03 1.979568389423076951e+04 3.450061298076923322e+03 4.867010516826923777e+03 1.806176923076923049e+04 1.979568389423076951e+04 1.979568389423076951e+04 3.450061298076923322e+03 3.450061298076923322e+03
3.967812110980351720e-02 5.076322916666666970e+03 1.595317291666666642e+04 2.732241145833333121e+03 5.087636458333333394e+03 1.370081250000000000e+04 1.595317291666666642e+04 1.595317291666666642e+04 2.732241145833333121e+03 2.732241145833333121e+03
4.573133090443888549e-02 6.568059556786703979e+03 1.407315650969529088e+04 2.383674515235456965e+03 6.578836565096952654e+03 1.226698060941828226e+04 1.407315650969529088e+04 1.407315650969529088e+04 2.383674515235456965e+03 2.383674515235456965e+03
5.186912300623527233e-02 6.606620137299771159e+03 1.295331121281464584e+04 2.166612986270022702e+03 6.614883867276887941e+03 1.118521167048054849e+04 1.295331121281464584e+04 1.295331121281464584e+04 2.166612986270022702e+03 2.166612986270022702e+03
5.807971256735403043e-02 6.191598106712564913e+03 1.189996213425129099e+04 2.000890275387263500e+03 6.202087349397590515e+03 1.029425301204819334e+04 1.189996213425129099e+04 1.189996213425129099e+04 2.000890275387263500e+03 2.000890275387263500e+03
6.422094742881356844e-02 6.786223858615610879e+03 1.138430633284241594e+04 1.889122238586156072e+03 6.799041237113401621e+03 9.894050073637701644e+03 1.138430633284241594e+04 1.138430633284241594e+04 1.889122238586156072e+03 1.889122238586156072e+03
7.029194303550849454e-02 5.381996936274509608e+03 8.990157475490195793e+03 1.506362285539215691e+03 5.395699754901960659e+03 7.891020833333333030e+03 8.990157475490195793e+03 8.990157475490195793e+03 1.506362285539215691e+03 1.506362285539215691e+03
7.656976085866129544e-02 5.875498526522593238e+03 9.091929273084479064e+03 1.505094056974459590e+03 5.893722495088408323e+03 8.054883104125736281e+03 9.091929273084479064e+03 9.091929273084479064e+03 1.505094056974459590e+03 1.505094056974459590e+03
8.283279975513359317e-02 5.234972294372294527e+03 7.641762770562770129e+03 1.242730735930735818e+03 5.246704761904761654e+03 6.751396969696969791e+03 7.641762770562770129e+03 7.641762770562770129e+03 1.242730735930735818e+03 1.242730735930735818e+03
8.886264192081894109e-02 4.561223892405063452e+03 7.028919303797468274e+03 1.126098299050632932e+03 4.571950949367088469e+03 6.066170490506328861e+03 7.028919303797468274e+03 7.028919303797468274e+03 1.126098299050632932e+03 1.126098299050632932e+03
9.493524398572131262e-02 4.263295958279009028e+03 6.163104954367666323e+03 9.892270208604953723e+02 4.272925358539765512e+03 5.382292046936114275e+03 6.163104954367666323e+03 6.163104954367666323e+03 9.892270208604953723e+02 9.892270208604953723e+02
1.010510809291368245e-01 3.922099213551119647e+03 5.545301875378100704e+03 8.955936176648518767e+02 3.928672111312765082e+03 4.878703569267998319e+03 5.545301875378100704e+03 5.545301875378100704e+03 8.955936176648518767e+02 8.955936176648518767e+02
1.071918355362574127e-01 3.625568124046771572e+03 5.060449415353329641e+03 8.027623919674631452e+02 3.634153533299440824e+03 4.470646670055923096e+03 5.060449415353329641e+03 5.060449415353329641e+03 8.027623919674631452e+02 8.027623919674631452e+02
1.133640700251744293e-01 3.350115330520393854e+03 4.749401312705110286e+03 7.365829231129864638e+02 3.360346929207688845e+03 4.105437880918893825e+03 4.749401312705110286e+03 4.749401312705110286e+03 7.365829231129864638e+02 7.365829231129864638e+02
1.195184611122857843e-01 3.290423237380058254e+03 4.620261576971213799e+03 7.066914372131831215e+02 3.304086775135585867e+03 4.002915727993324708e+03 4.620261576971213799e+03 4.620261576971213799e+03 7.066914372131831215e+02 7.066914372131831215e+02
1.256657517103361710e-01 3.088500569259962049e+03 4.224255028462997871e+03 6.439179791271346858e+02 3.103383491461100675e+03 3.697661859582542547e+03 4.224255028462997871e+03 4.224255028462997871e+03 6.439179791271346858e+02 6.439179791271346858e+02
1.317871926578333408e-01 3.014873826903024110e+03 4.090077511296489320e+03 6.054850104275286640e+02 3.025301007994438805e+03 3.550412930135557872e+03 4.090077511296489320e+03 4.090077511296489320e+03 6.054850104275286640e+02 6.054850104275286640e+02
1.378887696062481294e-01 2.811730769230769056e+03 3.827851197982345639e+03 5.583091503783101643e+02 2.822152585119798459e+03 3.294443253467843533e+03 3.827851197982345639e+03 3.827851197982345639e+03 5.583091503783101643e+02 5.583091503783101643e+02
1.440612672229828750e-01 2.723076703735386673e+03 3.486080125463359309e+03 5.218723980610208173e+02 2.736854576561163412e+03 3.134187909894496897e+03 3.486080125463359309e+03 3.486080125463359309e+03 5.218723980610208173e+02 5.218723980610208173e+02
1.501845201433902877e-01 2.407138511678435407e+03 3.177390548614882846e+03 4.639003938077131579e+02 2.422280282455187262e+03 2.788660782183595529e+03 3.177390548614882846e+03 3.177390548614882846e+03 4.639003938077131579e+02 4.639003938077131579e+02
