# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 4.955587439903846644e+03 2.575793269230769511e+03 8.515420297475961320e+01 1.756795973557692378e+03 1.583469711538461706e+04 4.883759390024038680e+02 3.166444230769230853e+04 1.610296396108774175e+01 1.048421649639423094e+03
1.503254434404273886e-02 5.140407986111110404e+03 4.704542968750000000e+03 1.546913384331597001e+02 2.679756076388888687e+03 1.285835850694444343e+04 3.002018880208333030e+03 2.411289583333333212e+04 9.835819498697915719e+01 7.984774305555555429e+02
2.104537904654678673e-02 5.594240542763157464e+03 6.403242187500000000e+03 2.098155324835526301e+02 3.048010896381578732e+03 1.256595065789473665e+04 3.603271792763157919e+03 2.311805427631578641e+04 1.180371607730263150e+02 7.578259662828946830e+02
2.718418752217394846e-02 4.355271100427350575e+03 5.041667735042735330e+03 1.655857204861111143e+02 2.586846153846154266e+03 9.278049145299146403e+03 3.103426816239316395e+03 1.736164636752137085e+04 1.009227597489316395e+02 5.727171474358974592e+02
3.359305548768203725e-02 6.568698918269231399e+03 1.025616706730769329e+04 3.371422400841346416e+02 4.920866586538461888e+03 1.118067187500000000e+04 1.103404326923076951e+04 1.979568389423076951e+04 3.629003906250000000e+02 6.508013070913461888e+02
3.967812110980351720e-02 5.618846354166666970e+03 9.099933333333332484e+03 2.967142578125000227e+02 4.610164583333333212e+03 8.781976041666666788e+03 1.043241354166666679e+04 1.595317291666666642e+04 3.411880208333333258e+02 5.183363281250000227e+02
4.573133090443888549e-02 5.616707409972299502e+03 9.867827562326869156e+03 3.202225372229917184e+02 4.997814058171745273e+03 7.708228531855956135e+03 1.145413988919667645e+04 1.407315650969529088e+04 3.755779085872576388e+02 4.535795966066481810e+02
5.186912300623527233e-02 5.386262585812357429e+03 9.553786613272312024e+03 3.095192005148741146e+02 4.879756864988557936e+03 7.065749427917619869e+03 1.076906521739130403e+04 1.295331121281464584e+04 3.524952445652173765e+02 4.131513515446224005e+02
5.807971256735403043e-02 5.017237521514630316e+03 8.644765920826162983e+03 2.786302710843373802e+02 4.585789586919105204e+03 6.539686746987951665e+03 9.579979345955249300e+03 1.189996213425129099e+04 3.132134789156626766e+02 3.796451968588640398e+02
6.422094742881356844e-02 5.032920839469808016e+03 8.836364506627392984e+03 2.842770158321060308e+02 4.734060751104565497e+03 6.220630338733431017e+03 9.870726804123711190e+03 1.138430633284241594e+04 3.229459913475699295e+02 3.599115887334315289e+02
7.029194303550849454e-02 3.792105698529411711e+03 6.305903186274509608e+03 2.036307636335784252e+02 3.502549632352940989e+03 4.986557598039215918e+03 7.142685661764705401e+03 8.990157475490195793e+03 2.335922181372548891e+02 2.851762216605392268e+02
7.656976085866129544e-02 4.101147347740668010e+03 6.913975442043221847e+03 2.222380279960707128e+02 3.880894646365421977e+03 5.072637524557956567e+03 7.589066797642435631e+03 9.091929273084479064e+03 2.492565385559921367e+02 2.860155943025540068e+02
8.283279975513359317e-02 3.487136363636363512e+03 5.816316450216449994e+03 1.842076975108224985e+02 3.328499567099567230e+03 4.286702164502164123e+03 6.508286147186146991e+03 7.641762770562770129e+03 2.114147456709956714e+02 2.366509199134199264e+02
8.886264192081894109e-02 3.089644580696202411e+03 5.080218354430379804e+03 1.594634963409810098e+02 2.906464992088607687e+03 3.897228243670886059e+03 5.530348892405063452e+03 7.028919303797468274e+03 1.783981284612341653e+02 2.147545243275316409e+02
