# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 5.096933293269231399e+03 4.559193509615384755e+03 2.940279259314904152e+02 1.759510216346154039e+03 1.559212019230769329e+04 9.750970552884615472e+02 3.166443990384615608e+04 6.270913931039663680e+01 2.046842848557692378e+03
1.503254434404273886e-02 5.567861111111110404e+03 6.617342013888888687e+03 4.265510525173610858e+02 2.995968315972222172e+03 1.302900694444444343e+04 3.917641493055555202e+03 2.411289756944444161e+04 2.507157389322916572e+02 1.561972981770833258e+03
2.104537904654678673e-02 6.400627467105262440e+03 9.033328125000000000e+03 5.791204769736841627e+02 3.650768092105262895e+03 1.270930756578947330e+04 5.014273026315789139e+03 2.311805427631578641e+04 3.208613795230263008e+02 1.483339432565789366e+03
2.718418752217394846e-02 5.078685363247864188e+03 7.770329594017094678e+03 5.001372529380342371e+02 3.250321848290598609e+03 9.284895299145300669e+03 5.077494658119658197e+03 1.736164636752137085e+04 3.240415331196581405e+02 1.121970886752136948e+03
3.359305548768203725e-02 7.825430889423077133e+03 1.301954687500000000e+04 8.397260366586539249e+02 6.244469951923077133e+03 1.128857812500000000e+04 1.240913942307692378e+04 1.979568269230769511e+04 7.974534254807692832e+02 1.280895883413461661e+03
3.967812110980351720e-02 6.520047916666666424e+03 1.144953125000000000e+04 7.344525390625000227e+02 5.529302083333333030e+03 8.735764583333333576e+03 1.144305416666666679e+04 1.595317291666666642e+04 7.320916666666666970e+02 1.023644661458333303e+03
4.573133090443888549e-02 6.329754155124654062e+03 1.159872022160664892e+04 7.426572887811634018e+02 5.695631925207756467e+03 7.767428670360111028e+03 1.231924515235457147e+04 1.407315650969529088e+04 7.898240997229917184e+02 8.994242555401662003e+02
5.186912300623527233e-02 6.053871281464530512e+03 1.133182036613272248e+04 7.251367276887872322e+02 5.577998283752860516e+03 7.106197940503432619e+03 1.212978489702517254e+04 1.295331006864988558e+04 7.769677488558352252e+02 8.233877288329518933e+02
5.807971256735403043e-02 5.586150602409638850e+03 1.040719449225473363e+04 6.668534315834767767e+02 5.116954819277108982e+03 6.563966006884681519e+03 1.096671600688468243e+04 1.189996299483648909e+04 7.032052495697074619e+02 7.604155012908778417e+02
6.422094742881356844e-02 5.588342047128129707e+03 1.053418777614138344e+04 6.741793998527246004e+02 5.256536450662739298e+03 6.290008100147275400e+03 1.137811045655375528e+04 1.138430633284241594e+04 7.292389083210604213e+02 7.237586524300442079e+02
