# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 7.595509014423077133e+03 3.497431490384615699e+03 1.157973445012019340e+02 3.870943509615384755e+03 1.583738581730769329e+04 1.089595252403846189e+03 3.166443990384615608e+04 3.601671189528245520e+01 1.048979417067307850e+03
1.503254434404273886e-02 6.754593750000000000e+03 5.207783854166666060e+03 1.721557617187500000e+02 3.952033854166666515e+03 1.286450000000000000e+04 4.780220920138888687e+03 2.411289756944444161e+04 1.574454345703125000e+02 7.999781901041666288e+02
2.104537904654678673e-02 6.985482730263157464e+03 6.357915296052631675e+03 2.092958213404605203e+02 4.189578947368420813e+03 1.257740625000000000e+04 4.221564967105263349e+03 2.311805427631578641e+04 1.390249794407894797e+02 7.615695415296052033e+02
2.718418752217394846e-02 5.295927884615384755e+03 5.285637286324787055e+03 1.745507311698718240e+02 3.326518429487179674e+03 9.291579059829060498e+03 4.248012286324787055e+03 1.736164636752137085e+04 1.394740251068376153e+02 5.750043402777778283e+02
3.359305548768203725e-02 7.233051081730769511e+03 1.050228004807692378e+04 3.474737830528846416e+02 5.204740985576923777e+03 1.120564543269230853e+04 1.153946995192307804e+04 1.979568269230769511e+04 3.803959960937500000e+02 6.560812049278846416e+02
3.967812110980351720e-02 6.173056249999999636e+03 9.704658333333332848e+03 3.196997395833333258e+02 4.812422916666666424e+03 8.809635416666666060e+03 1.130640104166666606e+04 1.595317291666666642e+04 3.715455729166666856e+02 5.253522786458332803e+02
4.573133090443888549e-02 5.939414819944598094e+03 1.054203531855955771e+04 3.466576134002770004e+02 4.987545360110802903e+03 7.740554016620498260e+03 1.237876592797783997e+04 1.407315650969529088e+04 4.077305228531856187e+02 4.619481907894736992e+02
5.186912300623527233e-02 5.632970251716246821e+03 1.024645995423340901e+04 3.367595108695651902e+02 4.855245995423340901e+03 7.103853546910755540e+03 1.195155377574370686e+04 1.295331006864988558e+04 3.936325800915331570e+02 4.232872926201372934e+02
5.807971256735403043e-02 5.251727194492254966e+03 9.217141996557658786e+03 3.030350957401032588e+02 4.561146299483649273e+03 6.583965146299483422e+03 1.062047074010327015e+04 1.189996299483648909e+04 3.497097676419965637e+02 3.902746073580034363e+02
6.422094742881356844e-02 5.210100883652429729e+03 9.555804860088364876e+03 3.139076076951399159e+02 4.647681516936671869e+03 6.272233431516936434e+03 1.108807069219440382e+04 1.138430633284241594e+04 3.652416006995581483e+02 3.718615150957290325e+02
7.029194303550849454e-02 4.006205269607843093e+03 6.794499387254902103e+03 2.239064223345588118e+02 3.494419424019607959e+03 5.036273284313725526e+03 7.779236519607842638e+03 8.990158088235293690e+03 2.561596583946078454e+02 2.953780254289215463e+02
