# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 -5.635465137087382012e-05 3.166444230769230853e+04 1.048421649639423094e+03 4.733500984339837794e-12 1.583469711538461706e+04 3.166444230769230853e+04 3.166444230769230853e+04 1.048421649639423094e+03 1.048421649639423094e+03
1.503254434404273886e-02 -2.908910068476365635e-05 2.411289583333333212e+04 7.984774305555555429e+02 5.578238873902049836e-12 1.285835850694444343e+04 2.411289583333333212e+04 2.411289583333333212e+04 7.984774305555555429e+02 7.984774305555555429e+02
2.104537904654678673e-02 1.632002500915213475e-05 2.311805427631578641e+04 7.578259662828946830e+02 8.489994526119765505e-12 1.256595065789473665e+04 2.311805427631578641e+04 2.311805427631578641e+04 7.578259662828946830e+02 7.578259662828946830e+02
2.718418752217394846e-02 -6.406648586002680493e-06 1.736164636752137085e+04 5.727171474358974592e+02 6.190205518165574454e-12 9.278049145299146403e+03 1.736164636752137085e+04 1.736164636752137085e+04 5.727171474358974592e+02 5.727171474358974592e+02
3.359305548768203725e-02 2.553014122596153811e+03 1.979568389423076951e+04 6.508013070913461888e+02 2.604541466346153811e+03 1.118067187500000000e+04 1.979568389423076951e+04 1.979568389423076951e+04 6.508013070913461888e+02 6.508013070913461888e+02
3.967812110980351720e-02 2.853556770833333303e+03 1.595317291666666642e+04 5.183363281250000227e+02 2.932623437499999909e+03 8.781976041666666788e+03 1.595317291666666642e+04 1.595317291666666642e+04 5.183363281250000227e+02 5.183363281250000227e+02
4.573133090443888549e-02 3.771735803324099834e+03 1.407315650969529088e+04 4.535795966066481810e+02 3.853152354570637272e+03 7.708228531855956135e+03 1.407315650969529088e+04 1.407315650969529088e+04 4.535795966066481810e+02 4.535795966066481810e+02
5.186912300623527233e-02 3.821919908466819379e+03 1.295331121281464584e+04 4.131513515446224005e+02 3.909442219679634036e+03 7.065749427917619869e+03 1.295331121281464584e+04 1.295331121281464584e+04 4.131513515446224005e+02 4.131513515446224005e+02
5.807971256735403043e-02 3.678478915662650707e+03 1.189996213425129099e+04 3.796451968588640398e+02 3.785986230636833170e+03 6.539686746987951665e+03 1.189996213425129099e+04 1.189996213425129099e+04 3.796451968588640398e+02 3.796451968588640398e+02
6.422094742881356844e-02 4.023262886597938177e+03 1.138430633284241594e+04 3.599115887334315289e+02 4.141012518409425866e+03 6.220630338733431017e+03 1.138430633284241594e+04 1.138430633284241594e+04 3.599115887334315289e+02 3.599115887334315289e+02
7.029194303550849454e-02 2.788869791666666515e+03 8.990157475490195793e+03 2.851762216605392268e+02 2.882044117647059011e+03 4.986557598039215918e+03 8.990157475490195793e+03 8.990157475490195793e+03 2.851762216605392268e+02 2.851762216605392268e+02
7.656976085866129544e-02 3.200559921414538167e+03 9.091929273084479064e+03 2.860155943025540068e+02 3.328089636542239532e+03 5.072637524557956567e+03 9.091929273084479064e+03 9.091929273084479064e+03 2.860155943025540068e+02 2.860155943025540068e+02
8.283279975513359317e-02 2.682656709956710074e+03 7.641762770562770129e+03 2.366509199134199264e+02 2.790217099567099467e+03 4.286702164502164123e+03 7.641762770562770129e+03 7.641762770562770129e+03 2.366509199134199264e+02 2.366509199134199264e+02
8.886264192081894109e-02 2.242401107594936548e+03 7.028919303797468274e+03 2.147545243275316409e+02 2.330668117088607687e+03 3.897228243670886059e+03 7.028919303797468274e+03 7.028919303797468274e+03 2.147545243275316409e+02 2.147545243275316409e+02
9.493524398572131262e-02 2.007604465449804366e+03 6.163104954367666323e+03 1.881629726205997315e+02 2.105702737940026054e+03 3.370844850065188893e+03 6.163104954367666323e+03 6.163104954367666323e+03 1.881629726205997315e+02 1.881629726205997315e+02
1.010510809291368245e-01 1.841297640653357576e+03 5.545301875378100704e+03 1.699409407138536210e+02 1.933282214156080045e+03 3.093091954022988830e+03 5.545301875378100704e+03 5.545301875378100704e+03 1.699409407138536210e+02 1.699409407138536210e+02
1.071918355362574127e-01 1.742680477885104210e+03 5.060449415353329641e+03 1.524272686832740362e+02 1.836061133706151622e+03 2.820064819522114703e+03 5.060449415353329641e+03 5.060449415353329641e+03 1.524272686832740362e+02 1.524272686832740362e+02
1.133640700251744293e-01 1.610843764650726825e+03 4.749401312705110286e+03 1.411196085325832144e+02 1.710295827473042664e+03 2.618035396155649323e+03 4.749401312705110286e+03 4.749401312705110286e+03 1.411196085325832144e+02 1.411196085325832144e+02
1.195184611122857843e-01 1.565511264080100091e+03 4.620261576971213799e+03 1.351047663746349485e+02 1.676848873591990014e+03 2.552389027951606295e+03 4.620261576971213799e+03 4.620261576971213799e+03 1.351047663746349485e+02 1.351047663746349485e+02
1.256657517103361710e-01 1.388350664136622299e+03 4.224255028462997871e+03 1.225301589184060731e+02 1.498678273244781849e+03 2.341343453510436575e+03 4.224255028462997871e+03 4.224255028462997871e+03 1.225301589184060731e+02 1.225301589184060731e+02
1.317871926578333408e-01 1.392671532846715309e+03 4.090077511296489320e+03 1.160969434306569354e+02 1.496262947514772350e+03 2.289988355926312124e+03 4.090077511296489320e+03 4.090077511296489320e+03 1.160969434306569354e+02 1.160969434306569354e+02
