# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 -3.494458864084803610e-05 3.166443990384615608e+04 2.046842848557692378e+03 1.984274283345782355e-11 1.559212019230769329e+04 3.166443990384615608e+04 3.166443990384615608e+04 2.046842848557692378e+03 2.046842848557692378e+03
1.503254434404273886e-02 -1.015529528053270341e-04 2.411289756944444161e+04 1.561972981770833258e+03 2.353095496232526784e-11 1.302900694444444343e+04 2.411289756944444161e+04 2.411289756944444161e+04 1.561972981770833258e+03 1.561972981770833258e+03
2.104537904654678673e-02 -2.585980722582653771e-05 2.311805427631578641e+04 1.483339432565789366e+03 2.565118877540546590e-11 1.270930756578947330e+04 2.311805427631578641e+04 2.311805427631578641e+04 1.483339432565789366e+03 1.483339432565789366e+03
2.718418752217394846e-02 -1.195799081753461897e-05 1.736164636752137085e+04 1.121970886752136948e+03 2.366822976923161468e-11 9.284895299145300669e+03 1.736164636752137085e+04 1.736164636752137085e+04 1.121970886752136948e+03 1.121970886752136948e+03
3.359305548768203725e-02 2.807020432692307622e+03 1.979568269230769511e+04 1.280895883413461661e+03 2.837479867788461888e+03 1.128857812500000000e+04 1.979568269230769511e+04 1.979568269230769511e+04 1.280895883413461661e+03 1.280895883413461661e+03
3.967812110980351720e-02 3.033366145833333121e+03 1.595317291666666642e+04 1.023644661458333303e+03 3.078254166666666606e+03 8.735764583333333576e+03 1.595317291666666642e+04 1.595317291666666642e+04 1.023644661458333303e+03 1.023644661458333303e+03
4.573133090443888549e-02 3.992942174515235365e+03 1.407315650969529088e+04 8.994242555401662003e+02 4.038457063711911360e+03 7.767428670360111028e+03 1.407315650969529088e+04 1.407315650969529088e+04 8.994242555401662003e+02 8.994242555401662003e+02
5.186912300623527233e-02 4.030548054919908282e+03 1.295331006864988558e+04 8.233877288329518933e+02 4.077112414187643026e+03 7.106197940503432619e+03 1.295331006864988558e+04 1.295331006864988558e+04 8.233877288329518933e+02 8.233877288329518933e+02
5.807971256735403043e-02 3.832896299483648818e+03 1.189996299483648909e+04 7.604155012908778417e+02 3.889708261617900462e+03 6.563966006884681519e+03 1.189996299483648909e+04 1.189996299483648909e+04 7.604155012908778417e+02 7.604155012908778417e+02
6.422094742881356844e-02 4.199583210603828775e+03 1.138430633284241594e+04 7.237586524300442079e+02 4.262824742268041518e+03 6.290008100147275400e+03 1.138430633284241594e+04 1.138430633284241594e+04 7.237586524300442079e+02 7.237586524300442079e+02
7.029194303550849454e-02 3.341576593137254804e+03 8.990158088235293690e+03 5.763788679534313815e+02 3.408910232843137237e+03 5.014466299019607504e+03 8.990158088235293690e+03 8.990158088235293690e+03 5.763788679534313815e+02 5.763788679534313815e+02
7.656976085866129544e-02 3.666436394891944929e+03 9.091929273084479064e+03 5.805507121807464728e+02 3.745093811394891873e+03 5.127474950884085956e+03 9.091929273084479064e+03 9.091929273084479064e+03 5.805507121807464728e+02 5.805507121807464728e+02
8.283279975513359317e-02 3.304254112554112453e+03 7.641761904761904589e+03 4.840359848484848726e+02 3.374429870129870324e+03 4.326288744588744521e+03 7.641761904761904589e+03 7.641761904761904589e+03 4.840359848484848726e+02 4.840359848484848726e+02
8.886264192081894109e-02 2.883892602848101433e+03 7.028919303797468274e+03 4.431965981012658062e+02 2.949133504746835570e+03 3.912809731012658176e+03 7.028919303797468274e+03 7.028919303797468274e+03 4.431965981012658062e+02 4.431965981012658062e+02
9.493524398572131262e-02 2.668716916558018056e+03 6.163104302477183410e+03 3.888318529986962062e+02 2.734101368970013027e+03 3.433776727509778084e+03 6.163104302477183410e+03 6.163104302477183410e+03 3.888318529986962062e+02 3.888318529986962062e+02
