# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 4.890819711538461888e+03 3.964922175480769511e+03 2.556644381009615472e+02 1.625224008413461661e+03 1.559212019230769329e+04 8.190544621394230944e+02 3.166443990384615608e+04 5.266193565955529010e+01 2.046842848557692378e+03
1.503254434404273886e-02 5.358582465277777374e+03 6.251870659722221717e+03 4.028623318142360858e+02 2.811915581597222172e+03 1.302900694444444343e+04 3.944819444444444343e+03 2.411289756944444161e+04 2.524192979600694287e+02 1.561972981770833258e+03
2.104537904654678673e-02 6.003027549342104976e+03 8.277564144736841627e+03 5.305426603618420813e+02 3.236963199013157919e+03 1.270930756578947330e+04 4.495119654605263349e+03 2.311805427631578641e+04 2.875451017680920813e+02 1.483339432565789366e+03
2.718418752217394846e-02 4.706733440170940412e+03 6.992524572649573201e+03 4.500623330662393755e+02 2.839749198717949184e+03 9.284895299145300669e+03 4.493394764957265579e+03 1.736164636752137085e+04 2.865639356303419163e+02 1.121970886752136948e+03
3.359305548768203725e-02 7.165590144230769511e+03 1.216353365384615427e+04 7.845605468750000000e+02 5.245913461538461888e+03 1.128857812500000000e+04 1.143555168269230853e+04 1.979568269230769511e+04 7.347402343750000000e+02 1.280895883413461661e+03
3.967812110980351720e-02 5.998882291666666788e+03 1.072336666666666679e+04 6.877756510416666060e+02 4.721189583333332848e+03 8.735764583333333576e+03 1.064914999999999964e+04 1.595317291666666642e+04 6.810852864583333712e+02 1.023644661458333303e+03
4.573133090443888549e-02 5.878464681440443201e+03 1.105608795013850431e+04 7.079105349722991605e+02 4.957346952908586900e+03 7.767428670360111028e+03 1.168413573407202239e+04 1.407315650969529088e+04 7.490276142659279230e+02 8.994242555401662003e+02
5.186912300623527233e-02 5.639046910755148929e+03 1.083213958810068652e+04 6.934415045766589856e+02 4.886224256292905920e+03 7.106197940503432619e+03 1.149607322654462223e+04 1.295331006864988558e+04 7.364382866132723393e+02 8.233877288329518933e+02
5.807971256735403043e-02 5.224689328743545957e+03 9.968260757314974398e+03 6.387024526678141001e+02 4.524738382099828414e+03 6.563966006884681519e+03 1.044778829604130806e+04 1.189996299483648909e+04 6.697160068846816330e+02 7.604155012908778417e+02
6.422094742881356844e-02 5.245829896907216607e+03 1.015626067746686203e+04 6.499503405743740814e+02 4.677087997054492007e+03 6.290008100147275400e+03 1.091582106038291568e+04 1.138430633284241594e+04 6.993428755522827487e+02 7.237586524300442079e+02
7.029194303550849454e-02 4.174897365196078681e+03 7.959954656862744741e+03 5.127281326593137010e+02 3.734499080882352700e+03 5.014466299019607504e+03 8.575283700980391586e+03 8.990158088235293690e+03 5.507975643382352473e+02 5.763788679534313815e+02
7.656976085866129544e-02 4.392928290766208193e+03 8.372895874263260339e+03 5.393819990176816646e+02 3.989002455795677633e+03 5.127474950884085956e+03 9.071736738703339142e+03 9.091929273084479064e+03 5.851012401768172140e+02 5.805507121807464728e+02
8.283279975513359317e-02 3.791720346320346380e+03 7.310490043290043104e+03 4.672818181818182097e+02 3.490186363636363694e+03 4.326288744588744521e+03 8.049740259740259717e+03 7.641761904761904589e+03 5.155890692640692805e+02 4.840359848484848726e+02
8.886264192081894109e-02 3.417047863924050489e+03 6.595659414556961565e+03 4.204755735759493405e+02 3.135070609177214919e+03 3.912809731012658176e+03 7.136303006329113487e+03 7.028919303797468274e+03 4.561169897151898454e+02 4.431965981012658062e+02
9.493524398572131262e-02 3.027085397653194377e+03 5.907593220338982974e+03 3.779386408083441893e+02 2.792155149934810652e+03 3.433776727509778084e+03 6.474684485006519026e+03 6.163104302477183410e+03 4.145239569752281454e+02 3.888318529986962062e+02
1.010510809291368245e-01 2.791529340592861899e+03 5.379323653962493154e+03 3.455170523290986466e+02 2.601213853599516369e+03 3.129465214761040897e+03 5.945884452510586925e+03 5.545301875378100704e+03 3.807082577132486563e+02 3.519304295220811127e+02
1.071918355362574127e-01 2.569870869344179027e+03 4.942844433146924530e+03 3.161193124046772027e+02 2.397520843924758537e+03 2.869331469242501498e+03 5.483311642094560739e+03 5.060448906964921662e+03 3.512381481952211288e+02 3.186601741230300036e+02
1.133640700251744293e-01 2.384660571964369410e+03 4.613446319737458907e+03 2.933759669479606487e+02 2.230216361931552001e+03 2.661496483825597807e+03 5.105861697140178876e+03 4.749401312705110286e+03 3.252365799343647836e+02 2.971420241443975669e+02
1.195184611122857843e-01 2.308994367959950068e+03 4.420800166875260402e+03 2.807155037546933727e+02 2.145070921985815403e+03 2.595413850646641549e+03 4.867466833541927372e+03 4.620261159783061885e+03 3.098175844806007717e+02 2.875108468919482902e+02
1.256657517103361710e-01 2.136243643263756894e+03 4.054765844402276798e+03 2.582248814041745959e+02 1.989455218216318826e+03 2.393533396584440197e+03 4.480684250474383589e+03 4.224255028462997871e+03 2.854104601518026811e+02 2.633370730550284406e+02
1.317871926578333408e-01 2.097661800486618176e+03 3.956650677789364181e+03 2.509717805005213904e+02 1.959620785540493671e+03 2.335945081682308228e+03 4.388394855752520016e+03 4.090077163712200218e+03 2.793761730969760038e+02 2.526323427181091574e+02
1.378887696062481294e-01 1.961945302648171491e+03 3.749691046658259893e+03 2.362845011034047786e+02 1.841343631778057897e+03 2.170121216897856357e+03 4.178822824716266950e+03 3.827851197982345639e+03 2.645661057692307736e+02 2.346983370113493095e+02
1.440612672229828750e-01 1.848319788993441762e+03 3.391317650413458978e+03 2.165602723125178386e+02 1.738063872255489059e+03 2.048619190191046528e+03 3.815509552323923799e+03 3.486080125463359309e+03 2.431167308240661669e+02 2.176596449957228572e+02
1.501845201433902877e-01 1.643409152634437760e+03 3.035579304725692054e+03 1.925218800923410924e+02 1.540582835415534873e+03 1.840210483432916817e+03 3.408013307984790572e+03 3.177390548614882846e+03 2.160582563824008560e+02 1.967097535306898237e+02
1.563418093457785985e-01 1.518659247798143269e+03 2.778076648417043543e+03 1.764033117114972526e+02 1.429311235420138019e+03 1.685798857414901249e+03 3.132596286598428833e+03 2.889947155439181188e+03 1.988398595572482748e+02 1.777940222566055581e+02
1.625438955957596576e-01 1.433236324101625087e+03 2.613053788052186064e+03 1.662265678644998843e+02 1.349918402380407315e+03 1.585819981689173801e+03 2.957407873655298772e+03 2.698965438315403844e+03 1.876880149919890073e+02 1.665686369878690698e+02
