# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 2.366423947163499527e-05 3.166444230769230853e+04 1.048421649639423094e+03 1.724690102272292054e-12 1.583469711538461706e+04 3.166444230769230853e+04 3.166444230769230853e+04 1.048421649639423094e+03 1.048421649639423094e+03
1.503254434404273886e-02 -1.409617673036538873e-05 2.411289583333333212e+04 7.984774305555555429e+02 2.145945458368695671e-12 1.285835850694444343e+04 2.411289583333333212e+04 2.411289583333333212e+04 7.984774305555555429e+02 7.984774305555555429e+02
2.104537904654678673e-02 -5.783876220352554952e-06 2.311805427631578641e+04 7.578259662828946830e+02 1.889887369406557278e-12 1.256595065789473665e+04 2.311805427631578641e+04 2.311805427631578641e+04 7.578259662828946830e+02 7.578259662828946830e+02
2.718418752217394846e-02 2.168710234089412530e-06 1.736164636752137085e+04 5.727171474358974592e+02 1.930693259587378308e-12 9.278049145299146403e+03 1.736164636752137085e+04 1.736164636752137085e+04 5.727171474358974592e+02 5.727171474358974592e+02
3.359305548768203725e-02 2.544722956730769511e+03 1.979568389423076951e+04 6.508013070913461888e+02 2.561750300480769511e+03 1.118067187500000000e+04 1.979568389423076951e+04 1.979568389423076951e+04 6.508013070913461888e+02 6.508013070913461888e+02
3.967812110980351720e-02 1.723488020833333394e+03 1.595317291666666642e+04 5.183363281250000227e+02 1.738032812499999864e+03 8.781976041666666788e+03 1.595317291666666642e+04 1.595317291666666642e+04 5.183363281250000227e+02 5.183363281250000227e+02
4.573133090443888549e-02 1.735287396121883603e+03 1.407315650969529088e+04 4.535795966066481810e+02 1.743175034626038723e+03 7.708228531855956135e+03 1.407315650969529088e+04 1.407315650969529088e+04 4.535795966066481810e+02 4.535795966066481810e+02
5.186912300623527233e-02 1.386345251716247049e+03 1.295331121281464584e+04 4.131513515446224005e+02 1.379465532036613240e+03 7.065749427917619869e+03 1.295331121281464584e+04 1.295331121281464584e+04 4.131513515446224005e+02 4.131513515446224005e+02
5.807971256735403043e-02 1.410112951807228910e+03 1.189996213425129099e+04 3.796451968588640398e+02 1.420634896729776301e+03 6.539686746987951665e+03 1.189996213425129099e+04 1.189996213425129099e+04 3.796451968588640398e+02 3.796451968588640398e+02
6.422094742881356844e-02 1.431686395434462383e+03 1.138430633284241594e+04 3.599115887334315289e+02 1.441610180412371164e+03 6.220630338733431017e+03 1.138430633284241594e+04 1.138430633284241594e+04 3.599115887334315289e+02 3.599115887334315289e+02
7.029194303550849454e-02 1.045714307598039113e+03 8.990157475490195793e+03 2.851762216605392268e+02 1.053986213235294144e+03 4.986557598039215918e+03 8.990157475490195793e+03 8.990157475490195793e+03 2.851762216605392268e+02 2.851762216605392268e+02
7.656976085866129544e-02 1.078518786836935078e+03 9.091929273084479064e+03 2.860155943025540068e+02 1.086731213163064695e+03 5.072637524557956567e+03 9.091929273084479064e+03 9.091929273084479064e+03 2.860155943025540068e+02 2.860155943025540068e+02
8.283279975513359317e-02 1.099511904761904816e+03 7.641762770562770129e+03 2.366509199134199264e+02 1.105380519480519524e+03 4.286702164502164123e+03 7.641762770562770129e+03 7.641762770562770129e+03 2.366509199134199264e+02 2.366509199134199264e+02
8.886264192081894109e-02 8.361633702531645440e+02 7.028919303797468274e+03 2.147545243275316409e+02 8.461768196202531271e+02 3.897228243670886059e+03 7.028919303797468274e+03 7.028919303797468274e+03 2.147545243275316409e+02 2.147545243275316409e+02
9.493524398572131262e-02 7.382244132985657643e+02 6.163104954367666323e+03 1.881629726205997315e+02 7.490993318122555138e+02 3.370844850065188893e+03 6.163104954367666323e+03 6.163104954367666323e+03 1.881629726205997315e+02 1.881629726205997315e+02
1.010510809291368245e-01 6.416179673321234986e+02 5.545301875378100704e+03 1.699409407138536210e+02 6.458410465819722504e+02 3.093091954022988830e+03 5.545301875378100704e+03 5.545301875378100704e+03 1.699409407138536210e+02 1.699409407138536210e+02
1.071918355362574127e-01 6.052594687341128292e+02 5.060449415353329641e+03 1.524272686832740362e+02 6.120324733096085765e+02 2.820064819522114703e+03 5.060449415353329641e+03 5.060449415353329641e+03 1.524272686832740362e+02 1.524272686832740362e+02
1.133640700251744293e-01 5.678890646976090011e+02 4.749401312705110286e+03 1.411196085325832144e+02 5.736103492733240046e+02 2.618035396155649323e+03 4.749401312705110286e+03 4.749401312705110286e+03 1.411196085325832144e+02 1.411196085325832144e+02
1.195184611122857843e-01 5.959685544430537902e+02 4.620261576971213799e+03 1.351047663746349485e+02 6.050061013767208351e+02 2.552389027951606295e+03 4.620261576971213799e+03 4.620261576971213799e+03 1.351047663746349485e+02 1.351047663746349485e+02
1.256657517103361710e-01 5.048540796963947059e+02 4.224255028462997871e+03 1.225301589184060731e+02 5.145207779886147819e+02 2.341343453510436575e+03 4.224255028462997871e+03 4.224255028462997871e+03 1.225301589184060731e+02 1.225301589184060731e+02
1.317871926578333408e-01 5.404964372610357941e+02 4.090077511296489320e+03 1.160969434306569354e+02 5.476443343760862490e+02 2.289988355926312124e+03 4.090077511296489320e+03 4.090077511296489320e+03 1.160969434306569354e+02 1.160969434306569354e+02
1.378887696062481294e-01 4.768151796973518231e+02 3.827851197982345639e+03 1.071737566992433841e+02 4.851365463430012710e+02 2.121531525851197785e+03 3.827851197982345639e+03 3.827851197982345639e+03 1.071737566992433841e+02 1.071737566992433841e+02
1.440612672229828750e-01 4.638521884801825195e+02 3.486080125463359309e+03 9.876313444539492536e+01 4.714027302537782020e+02 1.993155403478756853e+03 3.486080125463359309e+03 3.486080125463359309e+03 9.876313444539492536e+01 9.876313444539492536e+01
1.501845201433902877e-01 3.814517246061922719e+02 3.177390548614882846e+03 8.846747691472025110e+01 3.895341865833785846e+02 1.795175991309070923e+03 3.177390548614882846e+03 3.177390548614882846e+03 8.846747691472025110e+01 8.846747691472025110e+01
1.563418093457785985e-01 3.743901452035229909e+02 2.889947155439181188e+03 7.923294304927398457e+01 3.861184241847179237e+02 1.632295167817186439e+03 2.889947155439181188e+03 2.889947155439181188e+03 7.923294304927398457e+01 7.923294304927398457e+01
1.625438955957596576e-01 3.620173666742961700e+02 2.698965438315403844e+03 7.376052157244220098e+01 3.705223735408560515e+02 1.530889791714351077e+03 2.698965438315403844e+03 2.698965438315403844e+03 7.376052157244220098e+01 7.376052157244220098e+01
1.686940235306336466e-01 3.249581695966907660e+02 2.513955739400206767e+03 6.792737202688728360e+01 3.345587900723888310e+02 1.434343123061013330e+03 2.513955739400206767e+03 2.513955739400206767e+03 6.792737202688728360e+01 6.792737202688728360e+01
