# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 -5.972819725194803277e-05 3.166443990384615608e+04 2.046842848557692378e+03 2.218190908731543232e-12 1.559212019230769329e+04 3.166443990384615608e+04 3.166443990384615608e+04 2.046842848557692378e+03 2.046842848557692378e+03
1.503254434404273886e-02 -2.491871257209115370e-05 2.411289756944444161e+04 1.561972981770833258e+03 3.062464633737012525e-12 1.302900694444444343e+04 2.411289756944444161e+04 2.411289756944444161e+04 1.561972981770833258e+03 1.561972981770833258e+03
2.104537904654678673e-02 1.388576224838432379e-05 2.311805427631578641e+04 1.483339432565789366e+03 3.664150123667596982e-12 1.270930756578947330e+04 2.311805427631578641e+04 2.311805427631578641e+04 1.483339432565789366e+03 1.483339432565789366e+03
2.718418752217394846e-02 -2.409710795578793823e-05 1.736164636752137085e+04 1.121970886752136948e+03 4.246091133018757902e-12 9.284895299145300669e+03 1.736164636752137085e+04 1.736164636752137085e+04 1.121970886752136948e+03 1.121970886752136948e+03
3.359305548768203725e-02 2.800928185096153811e+03 1.979568269230769511e+04 1.280895883413461661e+03 2.811588641826923322e+03 1.128857812500000000e+04 1.979568269230769511e+04 1.979568269230769511e+04 1.280895883413461661e+03 1.280895883413461661e+03
3.967812110980351720e-02 3.027598177083333212e+03 1.595317291666666642e+04 1.023644661458333303e+03 3.041703906249999818e+03 8.735764583333333576e+03 1.595317291666666642e+04 1.595317291666666642e+04 1.023644661458333303e+03 1.023644661458333303e+03
4.573133090443888549e-02 3.988630540166204810e+03 1.407315650969529088e+04 8.994242555401662003e+02 4.002164819944598548e+03 7.767428670360111028e+03 1.407315650969529088e+04 1.407315650969529088e+04 8.994242555401662003e+02 8.994242555401662003e+02
5.186912300623527233e-02 3.153155892448512532e+03 1.295331006864988558e+04 8.233877288329518933e+02 3.156968249427917726e+03 7.106197940503432619e+03 1.295331006864988558e+04 1.295331006864988558e+04 8.233877288329518933e+02 8.233877288329518933e+02
5.807971256735403043e-02 3.050662865748709009e+03 1.189996299483648909e+04 7.604155012908778417e+02 3.059609509466437430e+03 6.563966006884681519e+03 1.189996299483648909e+04 1.189996299483648909e+04 7.604155012908778417e+02 7.604155012908778417e+02
6.422094742881356844e-02 2.859369293078055762e+03 1.138430633284241594e+04 7.237586524300442079e+02 2.873302466863033715e+03 6.290008100147275400e+03 1.138430633284241594e+04 1.138430633284241594e+04 7.237586524300442079e+02 7.237586524300442079e+02
7.029194303550849454e-02 2.294473651960784082e+03 8.990158088235293690e+03 5.763788679534313815e+02 2.301122089460784082e+03 5.014466299019607504e+03 8.990158088235293690e+03 8.990158088235293690e+03 5.763788679534313815e+02 5.763788679534313815e+02
7.656976085866129544e-02 2.594794204322200130e+03 9.091929273084479064e+03 5.805507121807464728e+02 2.611095776031434070e+03 5.127474950884085956e+03 9.091929273084479064e+03 9.091929273084479064e+03 5.805507121807464728e+02 5.805507121807464728e+02
8.283279975513359317e-02 2.103077489177489042e+03 7.641761904761904589e+03 4.840359848484848726e+02 2.114459740259740101e+03 4.326288744588744521e+03 7.641761904761904589e+03 7.641761904761904589e+03 4.840359848484848726e+02 4.840359848484848726e+02
8.886264192081894109e-02 1.815305775316455765e+03 7.028919303797468274e+03 4.431965981012658062e+02 1.821524327531645440e+03 3.912809731012658176e+03 7.028919303797468274e+03 7.028919303797468274e+03 4.431965981012658062e+02 4.431965981012658062e+02
9.493524398572131262e-02 1.602323337679269798e+03 6.163104302477183410e+03 3.888318529986962062e+02 1.612665580182529311e+03 3.433776727509778084e+03 6.163104302477183410e+03 6.163104302477183410e+03 3.888318529986962062e+02 3.888318529986962062e+02
1.010510809291368245e-01 1.367243345432546903e+03 5.545301875378100704e+03 3.519304295220811127e+02 1.372799606775559596e+03 3.129465214761040897e+03 5.545301875378100704e+03 5.545301875378100704e+03 3.519304295220811127e+02 3.519304295220811127e+02
1.071918355362574127e-01 1.400895399084900873e+03 5.060448906964921662e+03 3.186601741230300036e+02 1.408477249618708811e+03 2.869331469242501498e+03 5.060448906964921662e+03 5.060448906964921662e+03 3.186601741230300036e+02 3.186601741230300036e+02
1.133640700251744293e-01 1.232095405532114455e+03 4.749401312705110286e+03 2.971420241443975669e+02 1.238853375527426124e+03 2.661496483825597807e+03 4.749401312705110286e+03 4.749401312705110286e+03 2.971420241443975669e+02 2.971420241443975669e+02
1.195184611122857843e-01 1.241690133500208503e+03 4.620261159783061885e+03 2.875108468919482902e+02 1.250615456821026328e+03 2.595413850646641549e+03 4.620261159783061885e+03 4.620261159783061885e+03 2.875108468919482902e+02 2.875108468919482902e+02
1.256657517103361710e-01 1.110185958254269508e+03 4.224255028462997871e+03 2.633370730550284406e+02 1.120867172675521715e+03 2.393533396584440197e+03 4.224255028462997871e+03 4.224255028462997871e+03 2.633370730550284406e+02 2.633370730550284406e+02
1.317871926578333408e-01 1.097592196732707635e+03 4.090077163712200218e+03 2.526323427181091574e+02 1.104021028849496133e+03 2.335945081682308228e+03 4.090077163712200218e+03 4.090077163712200218e+03 2.526323427181091574e+02 2.526323427181091574e+02
1.378887696062481294e-01 1.043648723203026520e+03 3.827851197982345639e+03 2.346983370113493095e+02 1.050999684741487954e+03 2.170121216897856357e+03 3.827851197982345639e+03 3.827851197982345639e+03 2.346983370113493095e+02 2.346983370113493095e+02
1.440612672229828750e-01 9.780737810094097995e+02 3.486080125463359309e+03 2.176596449957228572e+02 9.897748788138010241e+02 2.048619190191046528e+03 3.486080125463359309e+03 3.486080125463359309e+03 2.176596449957228572e+02 2.176596449957228572e+02
