# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 -7.568977217978010202e-06 3.166443990384615608e+04 5.559418870192307622e+03 4.247200454580243177e-11 2.439096634615384755e+04 3.166443990384615608e+04 3.166443990384615608e+04 5.559418870192307622e+03 5.559418870192307622e+03
1.503254434404273886e-02 -2.013606459109319551e-04 2.411289756944444161e+04 4.247944010416666060e+03 2.911341538217963198e-11 2.091827256944444161e+04 2.411289756944444161e+04 2.411289756944444161e+04 4.247944010416666060e+03 4.247944010416666060e+03
2.104537904654678673e-02 2.973546323023344056e-05 2.311805427631578641e+04 4.011683388157894569e+03 2.886766848955870053e-11 2.024950000000000000e+04 2.311805427631578641e+04 2.311805427631578641e+04 4.011683388157894569e+03 4.011683388157894569e+03
2.718418752217394846e-02 -2.983175456905976520e-05 1.736164636752137085e+04 3.046501335470085905e+03 3.376666467803401256e-11 1.477692094017094132e+04 1.736164636752137085e+04 1.736164636752137085e+04 3.046501335470085905e+03 3.046501335470085905e+03
3.359305548768203725e-02 4.887484675480769511e+03 1.979568269230769511e+04 3.481398437500000000e+03 4.957723858173077133e+03 1.810223918269230853e+04 1.979568269230769511e+04 1.979568269230769511e+04 3.481398437500000000e+03 3.481398437500000000e+03
3.967812110980351720e-02 5.110838541666666970e+03 1.595317291666666642e+04 2.770398437500000000e+03 5.219072916666666970e+03 1.374389999999999964e+04 1.595317291666666642e+04 1.595317291666666642e+04 2.770398437500000000e+03 2.770398437500000000e+03
4.573133090443888549e-02 6.610844875346260778e+03 1.407315650969529088e+04 2.429164300554016791e+03 6.723476454293629104e+03 1.231829085872576252e+04 1.407315650969529088e+04 1.407315650969529088e+04 2.429164300554016791e+03 2.429164300554016791e+03
5.186912300623527233e-02 6.645998283752860516e+03 1.295331006864988558e+04 2.219731979405034508e+03 6.764386155606407556e+03 1.124574141876430258e+04 1.295331006864988558e+04 1.295331006864988558e+04 2.219731979405034508e+03 2.219731979405034508e+03
5.807971256735403043e-02 6.240927710843373461e+03 1.189996299483648909e+04 2.057796686746988144e+03 6.380231067125645495e+03 1.036407659208261612e+04 1.189996299483648909e+04 1.189996299483648909e+04 2.057796686746988144e+03 2.057796686746988144e+03
6.422094742881356844e-02 6.854851988217967119e+03 1.138430633284241594e+04 1.953914764359351921e+03 7.011400589101619516e+03 9.976249631811488143e+03 1.138430633284241594e+04 1.138430633284241594e+04 1.953914764359351921e+03 1.953914764359351921e+03
7.029194303550849454e-02 5.448770833333333030e+03 8.990158088235293690e+03 1.564607843137254804e+03 5.615773284313725526e+03 7.969425245098039341e+03 8.990158088235293690e+03 8.990158088235293690e+03 1.564607843137254804e+03 1.564607843137254804e+03
7.656976085866129544e-02 5.970405206286836801e+03 9.091929273084479064e+03 1.572798624754420416e+03 6.159143418467582705e+03 8.149600687622789337e+03 9.091929273084479064e+03 9.091929273084479064e+03 1.572798624754420416e+03 1.572798624754420416e+03
8.283279975513359317e-02 5.310119480519480931e+03 7.641761904761904589e+03 1.309508658008657903e+03 5.486243722943722787e+03 6.844412121212120837e+03 7.641761904761904589e+03 7.641761904761904589e+03 1.309508658008657903e+03 1.309508658008657903e+03
8.886264192081894109e-02 4.636737341772151922e+03 7.028919303797468274e+03 1.197947092563291108e+03 4.797552610759493291e+03 6.162880933544303844e+03 7.028919303797468274e+03 7.028919303797468274e+03 1.197947092563291108e+03 1.197947092563291108e+03
9.493524398572131262e-02 4.338756192959582222e+03 6.163104302477183410e+03 1.054007496740547595e+03 4.501646349413298594e+03 5.480374185136896813e+03 6.163104302477183410e+03 6.163104302477183410e+03 1.054007496740547595e+03 1.054007496740547595e+03
1.010510809291368245e-01 3.990374470659407507e+03 5.545301875378100704e+03 9.576361161524501995e+02 4.146287961282517244e+03 4.979554748941319303e+03 5.545301875378100704e+03 5.545301875378100704e+03 9.576361161524501995e+02 9.576361161524501995e+02
1.071918355362574127e-01 3.703557956278596976e+03 5.060448906964921662e+03 8.667894636502287540e+02 3.866241992882562499e+03 4.574662938485002996e+03 5.060448906964921662e+03 5.060448906964921662e+03 8.667894636502287540e+02 8.667894636502287540e+02
