# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 9.769068744320135746e-05 3.166444230769230853e+04 5.555979567307692378e+03 8.722197643627430035e-12 2.438673798076923049e+04 3.166444230769230853e+04 3.166444230769230853e+04 5.555979567307692378e+03 5.555979567307692378e+03
1.503254434404273886e-02 -5.563407386135723253e-05 2.411289583333333212e+04 4.239139322916666060e+03 6.908815340810213005e-12 2.090810763888888687e+04 2.411289583333333212e+04 2.411289583333333212e+04 4.239139322916666060e+03 4.239139322916666060e+03
2.104537904654678673e-02 -3.963527361568259030e-06 2.311805427631578641e+04 3.992711348684210407e+03 7.014215232029198733e-12 2.023110690789473665e+04 2.311805427631578641e+04 2.311805427631578641e+04 3.992711348684210407e+03 3.992711348684210407e+03
2.718418752217394846e-02 -9.353435797314359586e-06 1.736164636752137085e+04 3.031409989316239717e+03 8.056060092524849143e-12 1.475544337606837689e+04 1.736164636752137085e+04 1.736164636752137085e+04 3.031409989316239717e+03 3.031409989316239717e+03
3.359305548768203725e-02 4.876204326923077133e+03 1.979568389423076951e+04 3.450061298076923322e+03 4.946423978365384755e+03 1.806176923076923049e+04 1.979568389423076951e+04 1.979568389423076951e+04 3.450061298076923322e+03 3.450061298076923322e+03
3.967812110980351720e-02 5.094527604166666606e+03 1.595317291666666642e+04 2.732241145833333121e+03 5.202723437499999818e+03 1.370081250000000000e+04 1.595317291666666642e+04 1.595317291666666642e+04 2.732241145833333121e+03 2.732241145833333121e+03
4.573133090443888549e-02 6.583022853185595523e+03 1.407315650969529088e+04 2.383674515235456965e+03 6.695620498614958706e+03 1.226698060941828226e+04 1.407315650969529088e+04 1.407315650969529088e+04 2.383674515235456965e+03 2.383674515235456965e+03
5.186912300623527233e-02 6.610081235697940429e+03 1.295331121281464584e+04 2.166612986270022702e+03 6.728462242562928623e+03 1.118521167048054849e+04 1.295331121281464584e+04 1.295331121281464584e+04 2.166612986270022702e+03 2.166612986270022702e+03
5.807971256735403043e-02 6.198743545611016089e+03 1.189996213425129099e+04 2.000890275387263500e+03 6.338012478485370593e+03 1.029425301204819334e+04 1.189996213425129099e+04 1.189996213425129099e+04 2.000890275387263500e+03 2.000890275387263500e+03
6.422094742881356844e-02 6.798379234167893628e+03 1.138430633284241594e+04 1.889122238586156072e+03 6.954853460972017274e+03 9.894050073637701644e+03 1.138430633284241594e+04 1.138430633284241594e+04 1.889122238586156072e+03 1.889122238586156072e+03
7.029194303550849454e-02 5.395080269607842638e+03 8.990157475490195793e+03 1.506362285539215691e+03 5.562006127450979875e+03 7.891020833333333030e+03 8.990157475490195793e+03 8.990157475490195793e+03 1.506362285539215691e+03 1.506362285539215691e+03
7.656976085866129544e-02 5.901262278978388167e+03 9.091929273084479064e+03 1.505094056974459590e+03 6.089801080550098050e+03 8.054883104125736281e+03 9.091929273084479064e+03 9.091929273084479064e+03 1.505094056974459590e+03 1.505094056974459590e+03
8.283279975513359317e-02 5.237880086580086754e+03 7.641762770562770129e+03 1.242730735930735818e+03 5.413971428571428987e+03 6.751396969696969791e+03 7.641762770562770129e+03 7.641762770562770129e+03 1.242730735930735818e+03 1.242730735930735818e+03
8.886264192081894109e-02 4.563937104430379804e+03 7.028919303797468274e+03 1.126098299050632932e+03 4.724724683544303844e+03 6.066170490506328861e+03 7.028919303797468274e+03 7.028919303797468274e+03 1.126098299050632932e+03 1.126098299050632932e+03
9.493524398572131262e-02 4.261086049543676381e+03 6.163104954367666323e+03 9.892270208604953723e+02 4.424002933507170383e+03 5.382292046936114275e+03 6.163104954367666323e+03 6.163104954367666323e+03 9.892270208604953723e+02 9.892270208604953723e+02
1.010510809291368245e-01 3.909372353297036170e+03 5.545301875378100704e+03 8.955936176648518767e+02 4.065463097398669561e+03 4.878703569267998319e+03 5.545301875378100704e+03 5.545301875378100704e+03 8.955936176648518767e+02 8.955936176648518767e+02
1.071918355362574127e-01 3.619214031520081335e+03 5.060449415353329641e+03 8.027623919674631452e+02 3.781994661921708030e+03 4.470646670055923096e+03 5.060449415353329641e+03 5.060449415353329641e+03 8.027623919674631452e+02 8.027623919674631452e+02
1.133640700251744293e-01 3.346474214721050430e+03 4.749401312705110286e+03 7.365829231129864638e+02 3.524746601031411501e+03 4.105437880918893825e+03 4.749401312705110286e+03 4.749401312705110286e+03 7.365829231129864638e+02 7.365829231129864638e+02
1.195184611122857843e-01 3.175501042970379785e+03 4.620261576971213799e+03 7.066914372131831215e+02 3.357079474342928734e+03 4.002915727993324708e+03 4.620261576971213799e+03 4.620261576971213799e+03 7.066914372131831215e+02 7.066914372131831215e+02
1.256657517103361710e-01 2.968575521821631810e+03 4.224255028462997871e+03 6.439179791271346858e+02 3.163527703984819709e+03 3.697661859582542547e+03 4.224255028462997871e+03 4.224255028462997871e+03 6.439179791271346858e+02 6.439179791271346858e+02
1.317871926578333408e-01 2.864509384775808030e+03 4.090077511296489320e+03 6.054850104275286640e+02 3.032996871741397172e+03 3.550412930135557872e+03 4.090077511296489320e+03 4.090077511296489320e+03 6.054850104275286640e+02 6.054850104275286640e+02
1.378887696062481294e-01 2.703302332912988732e+03 3.827851197982345639e+03 5.583091503783101643e+02 2.878085750315258338e+03 3.294443253467843533e+03 3.827851197982345639e+03 3.827851197982345639e+03 5.583091503783101643e+02 5.583091503783101643e+02
1.440612672229828750e-01 2.556722269746222082e+03 3.486080125463359309e+03 5.218723980610208173e+02 2.739755346449957415e+03 3.134187909894496897e+03 3.486080125463359309e+03 3.486080125463359309e+03 5.218723980610208173e+02 5.218723980610208173e+02
1.501845201433902877e-01 2.231927485062465621e+03 3.177390548614882846e+03 4.639003938077131579e+02 2.426345464421509860e+03 2.788660782183595529e+03 3.177390548614882846e+03 3.177390548614882846e+03 4.639003938077131579e+02 4.639003938077131579e+02
1.563418093457785985e-01 2.095892406569864306e+03 2.889947155439181188e+03 4.184779814329921237e+02 2.285017138776481715e+03 2.573750059509640778e+03 2.889947155439181188e+03 2.889947155439181188e+03 4.184779814329921237e+02 4.184779814329921237e+02
1.625438955957596576e-01 1.978699244678416107e+03 2.698965438315403844e+03 3.879774261844816010e+02 2.163480888075074290e+03 2.414332570382238373e+03 2.698965438315403844e+03 2.698965438315403844e+03 3.879774261844816010e+02 3.879774261844816010e+02
1.686940235306336466e-01 1.848217580144777685e+03 2.513955739400206767e+03 3.587408479834539889e+02 2.030280041365046372e+03 2.286486866597724656e+03 2.513955739400206767e+03 2.513955739400206767e+03 3.587408479834539889e+02 3.587408479834539889e+02
1.747987378343396903e-01 1.715151619433198221e+03 2.364508299595141580e+03 3.354049595141700024e+02 1.892771659919028252e+03 2.145024291497975810e+03 2.364508299595141580e+03 2.364508299595141580e+03 3.354049595141700024e+02 3.354049595141700024e+02
1.809057159377772395e-01 1.639799640610961433e+03 2.314580233602875069e+03 3.154769541778975963e+02 1.817644923629829236e+03 2.032042407906558765e+03 2.314580233602875069e+03 2.314580233602875069e+03 3.154769541778975963e+02 3.154769541778975963e+02
1.870079494254630881e-01 1.561502105263157773e+03 2.212809122807017502e+03 2.951912061403508574e+02 1.742740877192982225e+03 1.935268421052631538e+03 2.212809122807017502e+03 2.212809122807017502e+03 2.951912061403508574e+02 2.951912061403508574e+02
1.931644028143169878e-01 1.505191479327149864e+03 2.111757899701305178e+03 2.869898207828957766e+02 1.682234397107373070e+03 1.894664518157522480e+03 2.111757899701305178e+03 2.111757899701305178e+03 2.869898207828957766e+02 2.869898207828957766e+02
1.993257601852206906e-01 1.390551404707669008e+03 2.017917539863325828e+03 2.603884965831435352e+02 1.573820501138952295e+03 1.747139711465451910e+03 2.017917539863325828e+03 2.017917539863325828e+03 2.603884965831435352e+02 2.603884965831435352e+02
2.054762598507901550e-01 1.383094459326096285e+03 1.937086705202312260e+03 2.478193994078669391e+02 1.564046947694910614e+03 1.712831665021852587e+03 1.937086705202312260e+03 1.937086705202312260e+03 2.478193994078669391e+02 2.478193994078669391e+02
2.116257382464896697e-01 1.296127824575478144e+03 1.769727904800107126e+03 2.261947787137318073e+02 1.489910282123278648e+03 1.579222890760797100e+03 1.769727904800107126e+03 1.769727904800107126e+03 2.261947787137318073e+02 2.261947787137318073e+02
2.177578654451892970e-01 1.199052271864321028e+03 1.653966333375522254e+03 2.100995127199088870e+02 1.387208581192254314e+03 1.494377547145930976e+03 1.653966333375522254e+03 1.653966333375522254e+03 2.100995127199088870e+02 2.100995127199088870e+02
2.238991135097555263e-01 1.097774513316612911e+03 1.570648751940761940e+03 1.908114325809148397e+02 1.279012420876627175e+03 1.380605995461602788e+03 1.570648751940761940e+03 1.570648751940761940e+03 1.908114325809148397e+02 1.908114325809148397e+02
