# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 6.350085937500000000e+03 2.446567608173077133e+03 8.107978703425480660e+01 2.760825420673077133e+03 1.583738581730769329e+04 1.326242187500000000e+03 3.166443990384615608e+04 4.380182354266827360e+01 1.048979417067307850e+03
1.503254434404273886e-02 5.267667968750000000e+03 3.938272135416666515e+03 1.301605088975694287e+02 2.772179253472222172e+03 1.286450000000000000e+04 4.180381944444444343e+03 2.411289756944444161e+04 1.376394314236111143e+02 7.999781901041666288e+02
2.104537904654678673e-02 5.522672697368420813e+03 4.373565789473684163e+03 1.438612510279605203e+02 2.839747121710526244e+03 1.257740625000000000e+04 3.403516036184210407e+03 2.311805427631578641e+04 1.121120348478618354e+02 7.615695415296052033e+02
2.718418752217394846e-02 4.124690170940170901e+03 3.904321581196581519e+03 1.285255992922008659e+02 2.283119658119658197e+03 9.291579059829060498e+03 3.474975961538461888e+03 1.736164636752137085e+04 1.139046057024572747e+02 5.750043402777778283e+02
3.359305548768203725e-02 6.330721153846154266e+03 1.040294230769230853e+04 3.444249549278846416e+02 4.434364783653846644e+03 1.120564543269230853e+04 1.375556009615384755e+04 1.979568269230769511e+04 4.532296424278846416e+02 6.560812049278846416e+02
3.967812110980351720e-02 4.920155729166666788e+03 7.588660416666666606e+03 2.505658528645833201e+02 3.478963281249999909e+03 8.809635416666666060e+03 1.001459583333333285e+04 1.595317291666666642e+04 3.297085286458333258e+02 5.253522786458332803e+02
4.573133090443888549e-02 4.436003462603877779e+03 7.264383656509695356e+03 2.384509825138504198e+02 3.287145083102493118e+03 7.740554016620498260e+03 9.521343490304709121e+03 1.407315650969529088e+04 3.131096346952908789e+02 4.619481907894736992e+02
5.186912300623527233e-02 4.021862128146452960e+03 6.257342677345537595e+03 2.053672232551487298e+02 2.892742848970251544e+03 7.103853546910755540e+03 7.476521739130434980e+03 1.295331006864988558e+04 2.463205627860411937e+02 4.232872926201372934e+02
5.807971256735403043e-02 3.830481927710843593e+03 6.159836919104991466e+03 2.028231900817555982e+02 2.840288511187607583e+03 6.583965146299483422e+03 7.616136833046472020e+03 1.189996299483648909e+04 2.510277000860585304e+02 3.902746073580034363e+02
6.422094742881356844e-02 3.655609351988217895e+03 5.904451030927834836e+03 1.928813397459499299e+02 2.738172680412370937e+03 6.272233431516936434e+03 7.270621502209130995e+03 1.138430633284241594e+04 2.387768547496318092e+02 3.718615150957290325e+02
7.029194303550849454e-02 2.868736825980392041e+03 4.561937500000000000e+03 1.495589096966911882e+02 2.140361060049019670e+03 5.036273284313725526e+03 5.672012254901960659e+03 8.990158088235293690e+03 1.866883233762254974e+02 2.953780254289215463e+02
7.656976085866129544e-02 2.964135559921414369e+03 4.525871807465618986e+03 1.493587610510805348e+02 2.226783153241650325e+03 5.132205304518663979e+03 5.428138015717091548e+03 9.091929273084479064e+03 1.799548287082514548e+02 2.977732686640471229e+02
8.283279975513359317e-02 2.625263203463203354e+03 4.159693073593073677e+03 1.366093073593073655e+02 2.078102813852814052e+03 4.345875324675324919e+03 5.250777489177488860e+03 7.641761904761904589e+03 1.734037743506493428e+02 2.484969155844155750e+02
8.886264192081894109e-02 2.289089200949366841e+03 3.438409810126582215e+03 1.125989294897151893e+02 1.780723496835443029e+03 3.959310126582278372e+03 4.487979034810126905e+03 7.028919303797468274e+03 1.472403703520569707e+02 2.276525415348101262e+02
9.493524398572131262e-02 1.959583604954367502e+03 3.063927966101694892e+03 1.002048769556714376e+02 1.542718383311603702e+03 3.432065840938721976e+03 3.955910039113428866e+03 6.163104302477183410e+03 1.304325089634941151e+02 1.995971316818774426e+02
1.010510809291368245e-01 1.796483363581367257e+03 2.696795825771324871e+03 8.829425665456746231e+01 1.434243496672716446e+03 3.157042347247429007e+03 3.603570175438596834e+03 5.545301875378100704e+03 1.181994007108288116e+02 1.803885549001815036e+02
1.071918355362574127e-01 1.676439755973563706e+03 2.554009659379766163e+03 8.303661190899848066e+01 1.364335155058464579e+03 2.885660650737162996e+03 3.424632180986273397e+03 5.060448906964921662e+03 1.118299202465683777e+02 1.634269032791052325e+02
1.133640700251744293e-01 1.526729488982653720e+03 2.271489685888420354e+03 7.440064609704641896e+01 1.250081340834505454e+03 2.686132208157524929e+03 3.096704875761838139e+03 4.749401312705110286e+03 1.016169274496015049e+02 1.526461409985935518e+02
1.195184611122857843e-01 1.537857113057989181e+03 2.319921151439299138e+03 7.527505736337087683e+01 1.269955569461827281e+03 2.626386316228618853e+03 3.117837088026699803e+03 4.620261159783061885e+03 1.015558575823946512e+02 1.476418309345014563e+02
1.256657517103361710e-01 1.388492504743833024e+03 2.020990322580645170e+03 6.571504981024668268e+01 1.150060056925996150e+03 2.416607779886147910e+03 2.790174383301707621e+03 4.224255028462997871e+03 9.111870256166983495e+01 1.350675996204933540e+02
1.317871926578333408e-01 1.383831074035453639e+03 2.010392248870351068e+03 6.546153219499478837e+01 1.150781108793882595e+03 2.370980361487660957e+03 2.752265206812652195e+03 4.090077163712200218e+03 9.046432373131735005e+01 1.297794251824817593e+02
1.378887696062481294e-01 1.272038146279949615e+03 1.839891708701135030e+03 5.961022225725094614e+01 1.081674574401008840e+03 2.203779949558638236e+03 2.608338902900378343e+03 3.827851197982345639e+03 8.475993064312736180e+01 1.206527033417402208e+02
1.440612672229828750e-01 1.218255203877958365e+03 1.705528942115768587e+03 5.631589054034787978e+01 1.034702380952380963e+03 2.077801824921585649e+03 2.434931280296550085e+03 3.486080125463359309e+03 7.994431672369547925e+01 1.113106109210151260e+02
1.501845201433902877e-01 1.072253870179250271e+03 1.486934274850624433e+03 4.854150682373709458e+01 9.222337045084192368e+02 1.878110401955458883e+03 2.213887017925040709e+03 3.177390548614882846e+03 7.226677926398696172e+01 1.007487778381314456e+02
1.563418093457785985e-01 9.910992025708164874e+02 1.367380147583908638e+03 4.462528639014520593e+01 8.786593668174243703e+02 1.714224946441323482e+03 2.139687931444894275e+03 2.889947155439181188e+03 7.003287163770531265e+01 9.095647613663413722e+01
1.625438955957596576e-01 9.335616273746852585e+02 1.241824101625085859e+03 4.074130593385213928e+01 8.334145685511558668e+02 1.614011902037079381e+03 1.970417257953765102e+03 2.698965438315403844e+03 6.407354371709773488e+01 8.517428902494850718e+01
1.686940235306336466e-01 8.784290589451912865e+02 1.181824301964839606e+03 3.893646264219234610e+01 7.950203722854188300e+02 1.518551913133402195e+03 1.930610134436401268e+03 2.513955739400206767e+03 6.302361039296793876e+01 7.930352895553257042e+01
1.747987378343396903e-01 8.307249999999999091e+02 1.087070141700404747e+03 3.567037575910931224e+01 7.636766700404857602e+02 1.432961437246963442e+03 1.836197773279352077e+03 2.364508299595141580e+03 5.938326163967611393e+01 7.438124999999999432e+01
1.809057159377772395e-01 7.937584905660377217e+02 1.051449775381850941e+03 3.405258310871518290e+01 7.384964959568733320e+02 1.378264420485175151e+03 1.780156154537286511e+03 2.314580233602875069e+03 5.763517520215633283e+01 7.184086365678346908e+01
1.870079494254630881e-01 7.624998245614034431e+02 1.007807894736842059e+03 3.280368421052631334e+01 7.127471929824561130e+02 1.317947982456140153e+03 1.705380701754385882e+03 2.212809122807017502e+03 5.512645833333333201e+01 6.819083333333333030e+01
1.931644028143169878e-01 7.455238956138972526e+02 9.435139915107688466e+02 3.115591102027983084e+01 6.929278415343500228e+02 1.296194151862914623e+03 1.644464706807105813e+03 2.111757899701305178e+03 5.315490881936802481e+01 6.605797535764817496e+01
1.993257601852206906e-01 7.085585421412300775e+02 9.037596810933940787e+02 2.960925635914958320e+01 6.746093394077448693e+02 1.217953530751708513e+03 1.613400000000000091e+03 2.017917539863325828e+03 5.197590641609719597e+01 6.174766989369780390e+01
2.054762598507901550e-01 6.893388552093614408e+02 8.655747920484985798e+02 2.831603781897645788e+01 6.499931622726631986e+02 1.187566896940645847e+03 1.525219935147328442e+03 1.937086705202312260e+03 4.918418687438320092e+01 5.928216639644720232e+01
2.116257382464896697e-01 6.245281454739938454e+02 7.787676828453002145e+02 2.529631718812675700e+01 6.015091589784731241e+02 1.091380732718277841e+03 1.449025404465837710e+03 1.769727904800107126e+03 4.641934917769755486e+01 5.408216756919375001e+01
2.177578654451892970e-01 5.879853815972661550e+02 7.072156689026705862e+02 2.303783540058220680e+01 5.735249335527148560e+02 1.027232755347424472e+03 1.380957473737501687e+03 1.653966459941779704e+03 4.407749019111505362e+01 5.048842314264017261e+01
2.238991135097555263e-01 5.486790278275408355e+02 6.630499223695210276e+02 2.154891466618893858e+01 5.511175803176878389e+02 9.652177833512480447e+02 1.329748835542816096e+03 1.570648871372267877e+03 4.234732174847724906e+01 4.714022378478442477e+01
