# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 4.731419170673077133e+03 6.660206129807692378e+03 1.165725585937500000e+03 1.374019531250000000e+03 2.438673798076923049e+04 2.013164513221154039e+03 3.166444230769230853e+04 3.516222205528846416e+02 5.555979567307692378e+03
1.503254434404273886e-02 7.363720486111110404e+03 8.870016493055554747e+03 1.550013671875000000e+03 4.730338541666666060e+03 2.090810763888888687e+04 6.118406250000000000e+03 2.411289583333333212e+04 1.060889648437500000e+03 4.239139322916666060e+03
2.104537904654678673e-02 8.472051809210526699e+03 1.031919572368420995e+04 1.781519736842105203e+03 5.307326480263157464e+03 2.023110690789473665e+04 7.085318256578946603e+03 2.311805427631578641e+04 1.224951274671052488e+03 3.992711348684210407e+03
2.718418752217394846e-02 7.088716346153846644e+03 8.974332264957265579e+03 1.559390090811966047e+03 5.341294871794872051e+03 1.475544337606837689e+04 7.370419337606838781e+03 1.736164636752137085e+04 1.269790598290598382e+03 3.031409989316239717e+03
3.359305548768203725e-02 1.285535216346153902e+04 1.431911418269230853e+04 2.491843750000000000e+03 1.226437980769230853e+04 1.806176923076923049e+04 1.488130408653846280e+04 1.979568389423076951e+04 2.588190504807692378e+03 3.450061298076923322e+03
3.967812110980351720e-02 1.063932083333333321e+04 1.235301874999999927e+04 2.126209374999999909e+03 1.084127291666666679e+04 1.370081250000000000e+04 1.367032291666666606e+04 1.595317291666666642e+04 2.358014583333333121e+03 2.732241145833333121e+03
4.573133090443888549e-02 1.066472576177285373e+04 1.229282825484764544e+04 2.104917416897506882e+03 1.139272160664819967e+04 1.226698060941828226e+04 1.429876177285318590e+04 1.407315650969529088e+04 2.477739785318559370e+03 2.383674515235456965e+03
5.186912300623527233e-02 1.008224485125858155e+04 1.180275743707093898e+04 2.019059353546910870e+03 1.082105835240274610e+04 1.118521167048054849e+04 1.383385240274599528e+04 1.295331121281464584e+04 2.394579805491991010e+03 2.166612986270022702e+03
5.807971256735403043e-02 9.237397590361446419e+03 1.078679518072289284e+04 1.846861876075731516e+03 9.852861445783133604e+03 1.029425301204819334e+04 1.249807745266781421e+04 1.189996213425129099e+04 2.170332185886402840e+03 2.000890275387263500e+03
