# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 -2.071419238256147222e-05 3.166444230769230853e+04 1.048421649639423094e+03 2.532467024546774809e-12 1.583469711538461706e+04 3.166444230769230853e+04 3.166444230769230853e+04 1.048421649639423094e+03 1.048421649639423094e+03
1.503254434404273886e-02 -2.853176556527614594e-05 2.411289583333333212e+04 7.984774305555555429e+02 2.284857102901543159e-12 1.285835850694444343e+04 2.411289583333333212e+04 2.411289583333333212e+04 7.984774305555555429e+02 7.984774305555555429e+02
2.104537904654678673e-02 -4.470176032842381865e-07 2.311805427631578641e+04 7.578259662828946830e+02 2.310457746176739852e-12 1.256595065789473665e+04 2.311805427631578641e+04 2.311805427631578641e+04 7.578259662828946830e+02 7.578259662828946830e+02
2.718418752217394846e-02 5.099050298683409831e-06 1.736164636752137085e+04 5.727171474358974592e+02 2.668644507654341243e-12 9.278049145299146403e+03 1.736164636752137085e+04 1.736164636752137085e+04 5.727171474358974592e+02 5.727171474358974592e+02
3.359305548768203725e-02 2.553014122596153811e+03 1.979568389423076951e+04 6.508013070913461888e+02 2.604541766826923322e+03 1.118067187500000000e+04 1.979568389423076951e+04 1.979568389423076951e+04 6.508013070913461888e+02 6.508013070913461888e+02
3.967812110980351720e-02 1.727952213541666652e+03 1.595317291666666642e+04 5.183363281250000227e+02 1.777203906250000045e+03 8.781976041666666788e+03 1.595317291666666642e+04 1.595317291666666642e+04 5.183363281250000227e+02 5.183363281250000227e+02
4.573133090443888549e-02 1.735652873961218802e+03 1.407315650969529088e+04 4.535795966066481810e+02 1.766473511080332401e+03 7.708228531855956135e+03 1.407315650969529088e+04 1.407315650969529088e+04 4.535795966066481810e+02 4.535795966066481810e+02
5.186912300623527233e-02 1.371729691075514893e+03 1.295331121281464584e+04 4.131513515446224005e+02 1.373442219679633808e+03 7.065749427917619869e+03 1.295331121281464584e+04 1.295331121281464584e+04 4.131513515446224005e+02 4.131513515446224005e+02
5.807971256735403043e-02 1.411709444922547391e+03 1.189996213425129099e+04 3.796451968588640398e+02 1.450605206540447625e+03 6.539686746987951665e+03 1.189996213425129099e+04 1.189996213425129099e+04 3.796451968588640398e+02 3.796451968588640398e+02
6.422094742881356844e-02 1.432101251840942496e+03 1.138430633284241594e+04 3.599115887334315289e+02 1.470967783505154557e+03 6.220630338733431017e+03 1.138430633284241594e+04 1.138430633284241594e+04 3.599115887334315289e+02 3.599115887334315289e+02
7.029194303550849454e-02 1.046796032475490165e+03 8.990157475490195793e+03 2.851762216605392268e+02 1.077720664828431381e+03 4.986557598039215918e+03 8.990157475490195793e+03 8.990157475490195793e+03 2.851762216605392268e+02 2.851762216605392268e+02
7.656976085866129544e-02 1.079541748526522497e+03 9.091929273084479064e+03 2.860155943025540068e+02 1.110345776031434070e+03 5.072637524557956567e+03 9.091929273084479064e+03 9.091929273084479064e+03 2.860155943025540068e+02 2.860155943025540068e+02
8.283279975513359317e-02 1.095957359307359411e+03 7.641762770562770129e+03 2.366509199134199264e+02 1.126541341991342051e+03 4.286702164502164123e+03 7.641762770562770129e+03 7.641762770562770129e+03 2.366509199134199264e+02 2.366509199134199264e+02
