# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 3.860882211538461888e+03 2.576006911057692378e+03 1.662301307091346132e+02 1.103523512620192378e+03 1.559212019230769329e+04 7.778239933894230944e+02 3.166443990384615608e+04 4.992453237680288680e+01 2.046842848557692378e+03
1.503254434404273886e-02 4.591371093750000000e+03 5.367074652777777374e+03 3.458950737847222285e+02 2.171229817708333030e+03 1.302900694444444343e+04 3.227813151041666515e+03 2.411289756944444161e+04 2.064379340277777715e+02 1.561972981770833258e+03
2.104537904654678673e-02 4.963389802631578277e+03 6.669605263157894115e+03 4.274872018914473415e+02 2.395698190789473756e+03 1.270930756578947330e+04 3.499213815789473301e+03 2.311805427631578641e+04 2.237737458881578902e+02 1.483339432565789366e+03
2.718418752217394846e-02 3.928345619658120086e+03 5.874980235042735330e+03 3.784215411324786942e+02 2.077632211538461888e+03 9.284895299145300669e+03 3.509702724358974592e+03 1.736164636752137085e+04 2.235878405448718240e+02 1.121970886752136948e+03
3.359305548768203725e-02 6.549022836538461888e+03 1.139609735576923231e+04 7.351845703125000000e+02 4.843639723557692378e+03 1.128857812500000000e+04 1.213232211538461524e+04 1.979568269230769511e+04 7.793519381009615472e+02 1.280895883413461661e+03
3.967812110980351720e-02 5.564483333333333576e+03 1.029300833333333321e+04 6.613643229166666515e+02 4.498394270833333394e+03 8.735764583333333576e+03 1.167158124999999927e+04 1.595317291666666642e+04 7.476171875000000000e+02 1.023644661458333303e+03
4.573133090443888549e-02 5.734059903047091211e+03 1.133748199445983300e+04 7.263847818559556799e+02 5.028735457063711692e+03 7.767428670360111028e+03 1.361568836565096899e+04 1.407315650969529088e+04 8.746476800554016791e+02 8.994242555401662003e+02
5.186912300623527233e-02 5.016926773455377770e+03 9.776232265446224119e+03 6.253503289473684390e+02 4.254474256292905920e+03 7.106197940503432619e+03 1.114754919908466763e+04 1.295331006864988558e+04 7.152715245995423174e+02 8.233877288329518933e+02
5.807971256735403043e-02 4.690611015490533646e+03 9.090960413080894796e+03 5.826316695352840043e+02 4.007388554216867760e+03 6.563966006884681519e+03 1.034252237521514689e+04 1.189996299483648909e+04 6.639293782271945474e+02 7.604155012908778417e+02
6.422094742881356844e-02 4.510250736377024623e+03 8.646623711340205773e+03 5.531342047128129025e+02 3.843229381443298735e+03 6.290008100147275400e+03 9.705975699558173801e+03 1.138430633284241594e+04 6.241214561855670127e+02 7.237586524300442079e+02
7.029194303550849454e-02 3.609250000000000000e+03 6.847860294117646845e+03 4.415323223039215463e+02 3.115708333333333485e+03 5.014466299019607504e+03 7.838633578431372371e+03 8.990158088235293690e+03 5.041982230392156907e+02 5.763788679534313815e+02
7.656976085866129544e-02 3.859854125736738297e+03 7.319593320235755527e+03 4.731790888998035030e+02 3.403006385068762029e+03 5.127474950884085956e+03 8.418830058939096489e+03 9.091929273084479064e+03 5.461090373280942458e+02 5.805507121807464728e+02
8.283279975513359317e-02 3.218905627705627921e+03 6.057195238095237983e+03 3.878074945887445892e+02 2.832711688311688249e+03 4.326288744588744521e+03 6.980321645021645054e+03 7.641761904761904589e+03 4.489782196969696884e+02 4.840359848484848726e+02
