# k, xm.power, xs.power, xd.power,  pm1.power, pm2.power, ps1.power, ps2.power, pd1.power, pd2.power
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.691056022563805813e-03 2.869515625000000000e+03 2.119324218750000000e+03 1.366990497295673208e+02 7.022914663461539249e+02 1.558943389423076951e+04 6.994487680288461888e+02 3.166444230769230853e+04 4.483229417067308020e+01 2.045722355769230944e+03
1.503254434404273886e-02 3.810947482638888687e+03 4.875446180555555657e+03 3.134149848090277715e+02 1.745816731770833258e+03 1.302271354166666606e+04 3.165203559027777828e+03 2.411289583333333212e+04 2.021195610894097001e+02 1.558744683159722172e+03
2.104537904654678673e-02 4.059682976973684163e+03 6.003174342105262440e+03 3.835389597039473415e+02 1.814399671052631447e+03 1.269775493421052488e+04 3.167813322368420813e+03 2.311805427631578641e+04 2.021703587582236707e+02 1.476179276315789366e+03
2.718418752217394846e-02 3.279581997863248034e+03 5.267808226495727467e+03 3.379053151709401845e+02 1.638344417735042953e+03 9.271368589743589837e+03 3.172249465811966274e+03 1.736164636752137085e+04 2.013265892094017318e+02 1.116892361111111313e+03
3.359305548768203725e-02 5.808331730769231399e+03 1.062213341346153902e+04 6.815452223557692832e+02 4.411395132211539021e+03 1.126339543269230853e+04 1.210705168269230853e+04 1.979568389423076951e+04 7.764174429086539249e+02 1.269777644230769283e+03
3.967812110980351720e-02 5.035191666666666606e+03 9.651814583333332848e+03 6.152605468750000455e+02 4.219174479166666970e+03 8.708346874999999272e+03 1.178984270833333358e+04 1.595317291666666642e+04 7.534933593749999545e+02 1.009806770833333303e+03
4.573133090443888549e-02 5.311917936288088640e+03 1.073531786703601028e+04 6.791179882271468387e+02 4.807614265927977613e+03 7.735010387811634246e+03 1.372247783933518076e+04 1.407315650969529088e+04 8.792183171745152777e+02 8.827436807479224399e+02
5.186912300623527233e-02 4.528531178489702143e+03 9.041939931350114421e+03 5.702437786041190293e+02 3.947722540045766436e+03 7.068020594965674718e+03 1.097615903890160189e+04 1.295331121281464584e+04 7.019447225400457455e+02 8.035386155606407783e+02
5.807971256735403043e-02 4.207183304647160185e+03 8.284898450946644516e+03 5.217459660068847143e+02 3.713467728055077714e+03 6.519779690189328903e+03 1.009385197934595635e+04 1.189996213425129099e+04 6.456031626506024850e+02 7.391933089500861342e+02
