# k, ph, pmodZA, pxmodZA, pmodPM, pxmodPM, pmodE, pxmodE, pmodE1, pxmodE1
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
8.69106e-03 2.02861e+04 2.03760e+04 2.03262e+04 2.03579e+04 2.03170e+04 2.13882e+04 2.08241e+04 2.02861e+04 2.02800e+04
1.50325e-02 1.54265e+04 1.55795e+04 1.55001e+04 1.55785e+04 1.54993e+04 1.63739e+04 1.58896e+04 1.54566e+04 1.54372e+04
2.10454e-02 1.45974e+04 1.46806e+04 1.46357e+04 1.46944e+04 1.46426e+04 1.53453e+04 1.49619e+04 1.45297e+04 1.45577e+04
2.71842e-02 1.11142e+04 1.11602e+04 1.11337e+04 1.11775e+04 1.11421e+04 1.16699e+04 1.13829e+04 1.10042e+04 1.10512e+04
3.35931e-02 1.28393e+04 1.28383e+04 1.28349e+04 1.28734e+04 1.28520e+04 1.33331e+04 1.30767e+04 1.24804e+04 1.26497e+04
3.96781e-02 1.01367e+04 1.01887e+04 1.01592e+04 1.02111e+04 1.01699e+04 1.05167e+04 1.03177e+04 9.84342e+03 9.97907e+03
4.57313e-02 8.89757e+03 8.90817e+03 8.89885e+03 8.92395e+03 8.90632e+03 9.13090e+03 9.00427e+03 8.54781e+03 8.70867e+03
5.18691e-02 8.15595e+03 8.15485e+03 8.15221e+03 8.16707e+03 8.15768e+03 8.28924e+03 8.21244e+03 7.72701e+03 7.92595e+03
5.80797e-02 7.58665e+03 7.57261e+03 7.57593e+03 7.58900e+03 7.58330e+03 7.64942e+03 7.60571e+03 7.09256e+03 7.31977e+03
6.42209e-02 7.20684e+03 7.16683e+03 7.18344e+03 7.18511e+03 7.19142e+03 7.16919e+03 7.17350e+03 6.65067e+03 6.90608e+03
7.02919e-02 5.79250e+03 5.75635e+03 5.77097e+03 5.77172e+03 5.77737e+03 5.71612e+03 5.73923e+03 5.26418e+03 5.50435e+03
7.65698e-02 5.84819e+03 5.78581e+03 5.81356e+03 5.80055e+03 5.81953e+03 5.68180e+03 5.74755e+03 5.21781e+03 5.50455e+03
8.28328e-02 4.87371e+03 4.81726e+03 4.84216e+03 4.82660e+03 4.84542e+03 4.66379e+03 4.74986e+03 4.26960e+03 4.54130e+03
8.88626e-02 4.49898e+03 4.43662e+03 4.46453e+03 4.43617e+03 4.46254e+03 4.21857e+03 4.33696e+03 3.83223e+03 4.13036e+03
